name,category,tags,team_or_individual,team_size_min,team_size_max,grade_min,grade_max,cost_tier,cost_detail,advisor_required,registration_owner,start_by_date,deadline_display,deadline_date,deadline_type,time_commitment,full_timeline,what_it_is,what_you_need_to_do,source_url,verification_status,last_checked,notes,active
USA Biology Olympiad (USABO),STEM & Research,STEM|Biology|Exam,Individual,1,1,9,12,$50-200,$125 school registration fee covering all students.,TRUE,School,,School registration opens late fall 2026. Open Exam February 2027.,2027-02-01,Competition date,One day,School registration late fall 2026. Open Exam February 2027. Top 10% advance to Semifinals. Top 20 attend a two-week national training camp.,"The premier US high school biology competition, sponsored by the Center for Excellence in Education. It selects the U.S. team for the International Biology Olympiad.","Register through your school for the Open Exam, a 50-minute multiple choice test covering cellular biology, plant anatomy, genetics, ecology, and ethology.",https://www.usabo-trc.org/,Unverified-Typical,,"BLOCKER: school must register. One $125 fee covers every student, so recruiting classmates lowers nobody's cost but makes the ask easier on the teacher.",TRUE
Science Olympiad,STEM & Research,STEM|Team|Engineering,Team,15,15,9,12,$50-200,$75 to $300 per team.,TRUE,School,,Registration opens early fall 2026. Tournaments January to April 2027.,2027-01-15,Competition date,Semester-long,"Team registration typically opens early fall. Invitational, regional, state, and national tournaments run January through April 2027.","The largest team-based STEM competition in the US, with 23 events spanning biology, chemistry, physics, earth science, and engineering design.","Join or form a 15-student school team. Pair up with teammates to study, run labs, or build devices like bridges, gliders, and towers, then compete against other schools.",https://www.soinc.org/,Unverified-Typical,,"Division C is grades 9-12, maximum seven 12th graders on a 15-student team. Needs 15 committed students and a school advisor, the highest coordination cost on this list.",TRUE
Wharton Global High School Investment Competition,Finance & Economics,Finance|Business,Team,4,7,9,12,Free,Free to enter.,TRUE,Teacher,,"Registration closes September 11, 2026, 5:00 PM ET",2026-09-11,Registration,Semester-long,"Registration opened August 10, closes September 11, 2026. Team account with advisor required by then.","An online investment competition run by Wharton where high school teams manage a $100,000 virtual portfolio and build a strategic plan for a specific client.","Form a team, analyze company financial reports, execute trades in Wharton's simulator, and write both a mid-project strategy report and a final portfolio strategy paper covering asset allocation and investment thesis.",https://globalyouth.wharton.upenn.edu/competitions/investment-competition/,Verified-3rdParty,,BLOCKER: an adult advisor must be attached to the team account before the deadline.,TRUE
National Economics Challenge (NEC),Finance & Economics,Finance|Economics,Team,3,4,9,12,Free,Free to enter.,TRUE,Teacher,,State prelim exams late February to late March 2027,2027-03-01,Competition date,Weeks,"Teacher registration opens January 1, 2027 and closes around early April 2027. Most states run online prelims late February to late March. Top teams advance to national semifinals and a live Quiz Bowl final.","The flagship national high school economics competition, run by the Council for Economic Education, testing microeconomics, macroeconomics, and current international events.","Your coach registers the team, receives test credentials, and proctors the online exams through CEE's EconChallenge portal. Compete in either the David Ricardo division (first-time econ students) or the Adam Smith division (AP, IB, or advanced).",https://www.councilforeconed.org/programs/for-students/national-economic-challenge/,Unverified-Typical,,"BLOCKER: coach must register and proctor. Division choice matters, Adam Smith is significantly harder.",TRUE
High School Fed Challenge,Finance & Economics,Finance|Economics|Policy,Team,3,5,9,12,Free,Free to enter.,TRUE,Teacher,,"Registration closes February 15. Final paper due March 15, 2027.",2027-02-15,Registration,Weeks,"Registration opens September 10, 2026 and closes February 15, 2027. Final research paper due March 15, 2027.","A Federal Reserve competition where students analyze economic data, evaluate macroeconomic conditions, and recommend monetary policy. Winners are recognized by the Fed and published in the Journal of Future Economists.","Research macro trends, inflation, employment, and banking conditions. Produce a formal economic podcast script or academic paper depending on your regional Fed district's format. Present your policy recommendation and defend it in Q&A with Fed economists.",https://www.newyorkfed.org/outreach-and-education/high-school/high-school-fed-challenge,Verified-3rdParty,,"Run nationwide by the Federal Reserve System, not district by district. Up to 3 research assistants beyond the 3-5 presenters. Format is a podcast script or academic paper.",TRUE
Young Investors Society Global Stock Pitch,Finance & Economics,Finance|Investing,Both,1,2,9,12,Free,Free to enter.,FALSE,Student,,"Pitch report and video historically due February 20, 11:59 PM PST",2027-02-20,Submission,Weeks,"Registration opens October 15, 2026. Report and video deadline historically February 20. State and regional rounds lead to global finals.","A global stock pitching competition where students act as analysts, running fundamental analysis on a public company and pitching it to professional investors.","Pick a publicly traded company, perform financial analysis and valuation, write a full equity research report, and record a video pitch arguing buy or sell.",https://yis.org/programs/stock-pitch-competition/,Unverified-Typical,,No advisor needed. One of the few finance competitions a student can enter alone.,TRUE
Harvard International Economics Essay Contest (HIEEC),Finance & Economics,Economics|Writing,Individual,1,1,9,12,Under $50,"$20 reading fee for US students, $30 international.",FALSE,Student,,Submissions typically due January 5,2027-01-05,Submission,Weeks,Prompts historically released late October. Submissions typically due January 5.,An international essay competition run by the Harvard Undergraduate Economics Association with the Harvard International Review.,"Pick one of four released prompts and write an analytical essay under a strict 1,500-word limit. Cite everything in APA or Chicago. Submit as a PDF before the deadline.",https://www.thehuea.org/competitions/hiiec,Unverified-Typical,,One of the few paid entries in this section. Word limit is enforced strictly.,TRUE
John Locke Essay Competition,Writing & Humanities,Writing|Economics|Philosophy|Politics|History|Law,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,"Submission deadline expected May 31, 2027",2027-05-31,Submission,Weeks,"Prompts released early February 2027. Submission deadline May 31, 2027.","An international essay competition run by the John Locke Institute, judged by scholars from Oxford and Princeton, covering Philosophy, Politics, Economics, History, Psychology, Theology, and Law.","Choose one official prompt and write a persuasive essay up to 2,000 words. Build a strong thesis backed by theory, logic, and empirical evidence.",https://www.johnlockeinstitute.com/essay-competition,Verified-3rdParty,,Must be 18 or younger on the submission deadline. Registration deadline is separate from and earlier than submission. Late entries have historically carried a fee.,TRUE
National Personal Finance Challenge,Finance & Economics,Finance|Personal Finance,Team,3,4,9,12,Free,Free to enter.,TRUE,Teacher,,WA registration window early January to mid-April 2027,2027-04-15,Registration,Weeks,WA team registration early January to mid-April 2027. Online preliminary exam window falls in the same range. Top state teams advance to National Finals.,"A CEE national competition testing personal finance, financial planning, and money management.","Compete in state testing covering earning income, spending, saving, investing, managing credit, and managing risk. Top state teams build and present a financial plan for a fictitious family to expert judges.",https://www.councilforeconed.org/programs/for-students/national-personal-finance-challenge/,Unverified-Typical,,Same organizer as NEC. One teacher can plausibly run both.,TRUE
Berkeley Economic Review Essay Contest,Finance & Economics,Economics|Writing,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,Submissions typically due mid-March 2027,2027-03-15,Submission,Weeks,Prompts expected early February 2027. Submission deadline typically mid-March 2027.,An international essay contest hosted by UC Berkeley's undergraduate peer-reviewed economics journal.,"Write an original essay under 1,000 words responding to the semester's featured prompt. Support the argument with credible academic sources and submit through their portal.",https://econreview.studentorg.berkeley.edu/,Unverified-Typical,,"1,000 words is short. Free, individual, no advisor. Low cost of entry relative to signal.",TRUE
International Economics Olympiad,Finance & Economics,Economics|Finance|Business,Individual,1,1,9,12,Free,Free to participate if selected for the national team.,FALSE,Student,,"Registration deadline February 27, 2027, 8:59 PM PST",2027-02-27,Registration,Weeks,"Registration closes February 27, 2027. Round 1 exam, open to all, March 13, 2027 at 5:00 PM PST. Qualifiers move through the national pipeline to the international event.","An annual international competition testing Economics, Financial Literacy, and Business.","Qualify through the national pipeline. At the international event you complete three stages: a written exam on general economics, a financial literacy game simulation, and a 24-hour team business case study presented to international judges.",https://ieo-official.org/,Verified-3rdParty,,Round 1 uses remote anti-cheating proctoring. Under 20 and not enrolled in university.,TRUE
DECA,Business & Entrepreneurship,Business|Marketing|Finance|Hospitality,Both,1,3,9,12,$50-200,"National dues $8 plus state and local dues, typically $20 to $40 total. Conference registration $50 to $150+ per level.",TRUE,School,,District qualifiers November 2026 through January 2027,2026-11-01,Competition date,Semester-long,Districts November 2026 to January 2027. State conferences February and March 2027. ICDC April 2027.,"One of the largest international business student organizations, preparing students for careers in marketing, finance, hospitality, and management through case studies, roleplays, and written business plans.","Join your school's chapter, pick a competitive event such as an individual roleplay or team decision-making, and take a 100-question career cluster exam proctored by your advisor.",https://www.deca.org/,Unverified-Typical,,Requires an active school chapter. Highest recurring cost on this list once conference fees stack.,TRUE
FBLA,Business & Entrepreneurship,Business|Finance|Cybersecurity|Public Speaking,Both,1,3,9,12,Under $50,"National dues $10 plus state and local, typically $15 to $30 total. Conference fees apply for state and national.",TRUE,School,,Regional and state qualifiers January to April 2027,2027-01-15,Competition date,Semester-long,Regionals and state January to April 2027. National Leadership Conference late June 2027.,"Future Business Leaders of America, with over 70 competitive events across accounting, finance, cybersecurity, public speaking, and entrepreneurship.","Compete in objective tests or presentation events at regional and state conferences. If your school has no chapter you can either charter one with a faculty advisor and a few classmates, or join as a virtual or direct independent member and still compete at state and national.",https://www.fbla.org/,Unverified-Typical,,"The virtual membership path is the workaround if no chapter exists. Worth flagging prominently, most students do not know it exists.",TRUE
Marshall Society Essay Competition (Cambridge),Finance & Economics,Economics|Writing,Individual,1,1,10,12,Free,Free to enter.,FALSE,Student,,"Submissions due August 30, 2026, 11:59 PM UK time",2026-08-30,Submission,Weeks,"Prompts released July 2026. Submissions due August 30, 2026.","An international economics essay contest run by the Marshall Society, the undergraduate economics society at the University of Cambridge.","Pick one of the annual prompts and write an analytical essay under 1,250 words focused on logical reasoning, strong evidence, and original economic argument. Submit as a PDF.",https://marshallsoc.org/,Verified-3rdParty,,"Closes in days. If nobody enters this year, it returns next July.",TRUE
Blue Ocean Competition,Business & Entrepreneurship,Business|Entrepreneurship|Pitch,Both,1,4,9,12,Free,Free to enter.,FALSE,Student,,"Pitch submissions due February 21, 2027",2027-02-21,Submission,Weeks,"Registration opened May 13, 2026. Pitch submissions due February 21, 2027.",The largest virtual high school entrepreneurship competition in the world. Students pitch original business concepts that create new market space rather than competing in existing markets.,"Develop a business idea using Blue Ocean strategy, build a slide deck, and record a 3 to 5 minute video pitch covering value proposition and market strategy. Submit online for review by entrepreneurs and business leaders.",https://blueoceancompetition.org/register/,Verified-3rdParty,,Start early. Customer validation and iteration are what separate placing entries from the rest.,TRUE
Diamond Challenge,Business & Entrepreneurship,Business|Entrepreneurship|Social Impact|Pitch,Both,1,4,9,12,Free,Free to enter.,TRUE,Student,,Submissions due mid-January 2027,2027-01-15,Submission,Weeks,"Submissions open September 2026, due mid-January 2027. Semifinalists advance to virtual or live regional pitch rounds. Summit April 2027.","A global entrepreneurship competition from Horn Entrepreneurship at the University of Delaware, focused on creative problem-solving and startup building.",Develop a startup concept in either the Business Innovation or Social Innovation track. Submit a pitch deck of up to 15 slides and a 3-minute video pitch.,https://diamondchallenge.org/competition/,Unverified-Typical,,"Any adult can serve as advisor, not necessarily a teacher. Ages 14-18.",TRUE
Conrad Challenge,Business & Entrepreneurship,Business|STEM|Entrepreneurship,Team,2,5,9,12,Over $200,Free to submit. $499 for the Innovation Stage. $499 per guest for the Summit.,TRUE,Student,,"Registration closes October 29, 2026",2026-10-29,Registration,Semester-long,"Registration opens August 27, 2026 and closes October 29, 2026. Innovation Stage runs from October 29, 2026 to early January 2027. Finalists present at the Conrad Innovation Summit.","A global innovation competition where teams use STEM, business design, and entrepreneurship to build commercially viable solutions to major global challenges.","Pick a category such as Aerospace, Cyber-Technology, Health, or Sustainability. Complete Phase 1 (Investor Pitch), then Phase 2 (Business Plan, Innovation Brief, and Video). Finalists present live at the Summit.",https://conrad.spacecenter.org/,Verified-3rdParty,,The $499 Innovation Stage fee is the highest barrier in this section and it hits AFTER you submit Phase 1. Say so up front. Source doc had a 2027 typo in the Innovation Stage start year.,TRUE
NFTE World Series of Innovation,Business & Entrepreneurship,Business|Entrepreneurship|Social Impact,Both,1,4,9,12,Free,Free to enter.,FALSE,Student,,"Submissions due December 13, 2026, 8:59 PM PST",2026-12-13,Submission,Weeks,"Challenges launch September 9, 2026 at 6:00 AM PST. Submissions due December 13, 2026.","An international entrepreneurship competition from the Network for Teaching Entrepreneurship, built around business solutions aligned to the UN Sustainable Development Goals.","Pick one of several corporate-sponsored challenge categories. Create a product or service concept, build a business proposal covering target market and revenue model, and submit online.",https://nfte.com/events/2026-27-world-series-of-innovation-new-challenges-launch-sept-9/,Verified-3rdParty,,"Ages 13-19, grades 7-12. No advisor required.",TRUE
Technovation Girls,Business & Entrepreneurship,Business|CS|Entrepreneurship,Team,2,5,9,12,Free,Free to enter.,TRUE,Student,,Final submissions due late April 2027,2027-04-25,Submission,Semester-long,Registration opens October 2026. Season runs January to April 2027. Submissions due late April 2027.,A global technology entrepreneurship program where young women code mobile apps or AI tools to solve real community problems.,"Identify a community issue, code a mobile app or design an AI prototype, write a full business plan, and produce a 2-minute pitch video.",https://technovationchallenge.org/get-involved/,Unverified-Typical,,"ELIGIBILITY: girls only, Senior Division ages 15-18. Requires an adult mentor. Cross-listed under Math & Computer Science.",TRUE
Paradigm Challenge,Business & Entrepreneurship,Business|STEM|Civic|Social Impact,Both,1,5,9,12,Free,Free to enter.,FALSE,Student,,"Entries due May 1, 2027",2027-05-01,Submission,Weeks,"Two-year cycle. Entries opened May 2, 2025 and close May 1, 2027.","An international competition from Project Paradigm where youth use STEM, business design, media, or civic engagement to solve global issues in health, safety, or environmental waste.","Build a solution to the current challenge topic in any medium: an invention, business proposal, app, video, or community program. Submit a written summary and supporting materials on impact and implementation.",https://www.projectparadigm.org/,Verified-3rdParty,,"Runs on a two-year cycle, so the window is long and the format is very open. Both cut two ways: no time pressure means no forcing function.",TRUE
Wharton High School Data Science Competition,Math & Computer Science,Data Science|Statistics|Sports,Team,3,5,9,12,Free,Free to enter.,FALSE,Student,,Project submissions due March 2027,2027-03-15,Submission,Weeks,Registration opens January 2027. Datasets released February 2027. Submissions due March 2027. Virtual finals April 2027.,A global sports analytics and data science competition from the Wharton Sports Analytics and Business Initiative and Wharton Global Youth.,"Use provided real-world sports datasets to build statistical models, analyze player and team performance, predict outcomes, and submit a technical report on your insights and methodology.",https://globalyouth.wharton.upenn.edu/competitions/data-science/,Unverified-Typical,,Same organizer as the Wharton Investment Competition. Ages 14-18.,TRUE
"The AMC Progression (AMC 10/12, AIME, USAMO)",Math & Computer Science,Math|Exam,Individual,1,1,9,12,Under $50,"School registration $50 to $100, plus $25 to $30 per bundle of 10 booklets. Often covered by the school or charged as a $10 to $15 student fee.",TRUE,School,,AMC 10/12 exams November 2026,2026-11-05,Competition date,One day,Registration opens late summer 2026. AMC 10/12 November 2026. AIME February 2027. USAMO and USAJMO follow for qualifiers.,"The premier US high school mathematics pipeline, run by the Mathematical Association of America. AMC 10/12 leads to AIME, which leads to the national olympiads.","Register through your school or an approved testing center. Take a 25-question, 75-minute multiple choice exam with no calculator. High scorers earn an AIME invitation, which is the qualifier for the US national olympiad teams.",https://maa.org/math-competitions/,Verified-3rdParty,,"BLOCKER, HIGHEST PRIORITY: your school must register as an official MAA testing site, and that window closes well before the November exam. AMC 10 is grades 10 and below, under 17.5 years. AMC 12 is grades 12 and below, under 19.5 years.",TRUE
USACO,Math & Computer Science,CS|Programming,Individual,1,1,9,12,Free,Free to enter.,FALSE,Student,,First contest December 2026,2026-12-11,Competition date,One weekend,"Four online contests per season, running monthly from December 2026 through the US Open in March 2027.","The USA Computing Olympiad, a four-division competitive programming ladder leading to the US team for the International Olympiad in Informatics.","Create a free account and enter a contest weekend. Everyone starts at Bronze. You get 4 hours in a self-scheduled window to solve 3 algorithmic problems in C++, Java, or Python. A high score promotes you to Silver, then Gold, then Platinum.",http://www.usaco.org/,Verified-3rdParty,,"LOWEST BARRIER ON THE ENTIRE HUB. No teacher, no team, no fee, no permission. A student can register tonight. Feature this one.",TRUE
Congressional App Challenge,Math & Computer Science,CS|Programming|Civic,Both,1,4,9,12,Free,Free to enter.,FALSE,Student,,App submissions due late October 2026,2026-10-30,Submission,Weeks,Registration opened June 2026. Final app submissions due late October 2026. Judged by your local congressional district office.,"A nationwide coding competition hosted by Members of Congress. Each district judges its own entries, so the applicant pool you compete against is small.","Design and code an original app, mobile, web, desktop, or tablet, in any language on any topic. Submit a 3-minute video explaining purpose, functionality, and technical architecture. The strongest submissions solve a local or personal problem.",https://www.congressionalappchallenge.us/,Verified-3rdParty,,Grades 6-12. District-based judging makes this the best odds-to-prestige ratio on the list.,TRUE
CyberPatriot,Math & Computer Science,CS|Cybersecurity,Team,2,6,9,12,Over $200,"$205 per team. Waived for Title I schools, all-female teams, JROTC, and Civil Air Patrol units.",TRUE,Teacher,,Registration closes October 2026,2026-10-01,Registration,Semester-long,"Registration opened May 2026, closes October 2026. Qualification rounds monthly October through December 2026. National finals spring 2027.",The National Youth Cyber Defense Competition from the Air & Space Forces Association. Students act as IT professionals defending virtual networks.,"During 6-hour rounds, download virtual OS images, find hidden vulnerabilities, patch flaws, remove malware, and configure network defenses for points.",https://www.uscyberpatriot.org/,Verified-3rdParty,,"BLOCKER: needs an adult coach and $205. Check the all-female team fee waiver, it removes the cost entirely.",TRUE
picoCTF,Math & Computer Science,CS|Cybersecurity,Both,1,5,9,12,Free,Free to enter.,FALSE,Student,,Two-week competition window in March 2027,2027-03-01,Competition date,Weeks,Main competition runs online for two weeks in March 2027.,A global online Capture The Flag cybersecurity competition built by security researchers at Carnegie Mellon.,"Solve interactive challenges across web exploitation, cryptography, reverse engineering, binary exploitation, and digital forensics to find hidden flags and climb a live scoreboard.",https://picoctf.org/,Unverified-Typical,,Grades 6-12. Free and requires nobody's permission. Good entry point for anyone blocked out of CyberPatriot by the fee.,TRUE
ASA Data Visualization Poster Competition,Math & Computer Science,Statistics|Data Science,Both,1,4,9,12,Free,Free to enter.,FALSE,Student,,"Digital posters due April 1, 2027",2027-04-01,Submission,Weeks,"Digital poster submissions due April 1, 2027.",A national statistics competition from the American Statistical Association focused on displaying data analysis visually.,"Formulate a statistical research question, collect or source real data, analyze it, and design a digital poster with graphs, tables, and written explanation of your findings.",https://www.amstat.org/education/asa-data-visualization-poster-competition-for-grades-k-12-,Verified-3rdParty,,"High school categories split grades 7-9 and 10-12. If a student already has data from another project, this is nearly free to enter.",TRUE
ASA Statistics Project Competition,Math & Computer Science,Statistics|Research,Both,1,3,9,12,Free,Free to enter.,FALSE,Student,,"Written reports due June 1, 2027",2027-06-01,Submission,Semester-long,"Final written project reports due June 1, 2027.",A national research competition from the American Statistical Association focused on formal statistical inquiry and scientific reporting.,"Run a complete statistical study: define a hypothesis, collect raw data through surveys or experiments, analyze it with statistical methods, and write a formal report on process and conclusions.",https://www.amstat.org/asa/education/ASA-Statistics-Project-Competition-for-Grades-7-12.aspx,Verified-3rdParty,,"Grades 7-12. Latest deadline on the entire hub, which makes it the natural landing spot for a project that misses an earlier fair.",TRUE
M3 Challenge,Math & Computer Science,Math|Modeling|Data Science,Team,3,5,11,12,Free,Free to enter.,TRUE,Teacher,,14-hour challenge weekend late February 2027,2027-02-20,Competition date,One weekend,Registration opens November 2026. The 14-hour challenge weekend runs late February 2027.,An internet-based math modeling contest from MathWorks and SIAM where teams solve real industrial or societal problems with math and data. Scholarship money for winners.,"Pick a weekend inside the competition window, download the unseen problem prompt, and write a full mathematical model and research paper within 14 consecutive hours.",https://m3challenge.siam.org/,Verified-3rdParty,,"ELIGIBILITY: juniors and seniors only. Free, one weekend, real scholarship money. Best effort-to-reward ratio in this category.",TRUE
HiMCM,Math & Computer Science,Math|Modeling,Team,2,4,9,12,$50-200,$100 registration per team.,TRUE,Teacher,,14-day contest window early November 2026,2026-11-01,Competition date,Weeks,Registration opens September 2026. The 14-day contest window runs early November 2026.,An international mathematical modeling competition from COMAP for high school teams solving complex real-world problems.,"Over a 14-day window, pick one of two real-world prompts, build mathematical models, test assumptions, and write a full research paper with your team.",https://www.comap.org/contests/himcm-midmcm,Verified-3rdParty,,"Open to grades 9-12, unlike M3. Costs $100 where M3 is free, so run M3 unless a sophomore needs modeling experience.",TRUE
We the People,Civics & Policy,Civics|Constitution|Public Speaking,Team,,,9,12,$50-200,Free at local and district levels. National finals participation involves school or chapter registration fees of $150 to $200 per team.,TRUE,Teacher,,Regional and state competitions run November 2026 through February 2027,2026-11-01,Competition date,Semester-long,Regional and state competitions November 2026 through February 2027. National Finals late April 2027.,"A national civic education program run as simulated congressional hearings, where high school teams demonstrate deep knowledge of the U.S. Constitution and Bill of Rights.","Work in student teams acting as constitutional expert witnesses. Prepare and present oral testimony, then answer spontaneous follow-up questions from a panel of judges in simulated congressional hearings.",https://www.civiced.org/we-the-people,Verified-Official,,"Requires a faculty coach, usually AP U.S. Government, AP U.S. History, or Civics, to register the school and oversee prep. Can run as a semester-long social studies elective or an after-school club. If your school has no chapter, you can ask an advisor to establish one.",TRUE
